Name,Description
Senfei,"Senfeier, also known as eier in senfsoße, is a classic German comfort food that consists of boiled eggs smothered in a smooth, and creamy mustard sauce. Typical accompaniments to this vegetarian specialty include boiled or mashed potatoes, rice, wilted spinach, blanched kale, and various vegetables such as carrots, broccoli, cauliflowers, or peas. Fried onions and bacon bits can be added for extra flavor, and the dish can be garnished with freshly chopped parsley or dill on top, if desired. This simple dish is often prepared around Easter because it provides an easy way to use leftover Easter eggs. In Germany, senfeier is typically served for breakfast, brunch, or as a light dinner."
Wibele,"Wibele is a tiny, sweet biscuits made by combining flour, powdered sugar, egg whites, vanilla sugar, and vanilla flavorings. The biscuits or cookies are baked until golden in color and are recognized for their distinctive shape of a figure-eight or a shoe sole. These tiny pastries are believed to date back to 1763, in Langenburg, and they are most commonly attributed to Jakob Christian Carl Wibel, who is thought to have been a court confectioner to the Prince of Hohenlohe-Langenburg and created wibele in the Prince’s honor. These sweet treats are available in bakeries, confectioner’s shops, and delicatessen stores. Wibele are often enjoyed as dessert cookies and are usually accompanied by a glass of hot mulled wine. "
Drei im Weggla,"Drei im Weggla is a staple street food in Nuremberg. The sandwich consists of a circular bun that's cut in half and stuffed with three (drei in German) grilled Nürnberger Rostbratwurst sausages with a charred and crunchy skin. The sandwich is completed when the sausages are slathered with sharp yellow mustard. Some vendors even offer sauerkraut on top of it all, but let's be honest, the beauty of this sandwich lies in its simplicity. The bun must be perfectly crisp on the exterior while the inside should be chewy, dense, and yeasty. In the city, Drei im Weggla can be found at restaurants and in numerous food stands, huts, and carts scattered throughout Nuremberg."
Bregenwurst,"Bregenwurst is a traditional sausage originating from Lower Saxony and Saxony-Anhalt. The sausage is made from pork, pork belly, and (in the past) either pig or cattle brain. It's often enriched with the addition of white pepper, cumin, mace, and onions. The name Bregenwurst is derived from the word bregen, meaning brain and referring to one of the ingredients used for its production. Bregenwurst is eaten raw as it is, but it's also often boiled or stewed, after which it develops a spreadable texture. In the colder months, the sausage is typically served with kale (grünkohl) and potatoes on the side."
Gruenkohl und Pinkel,"A typical winter dish from Northern Germany, Gruenkohl und Pinkel consists of finely chopped kale that is cooked with lard and onions, accompanied by smoked sausages made from pork meat and grits, called Pinkel. The dish is commonly served with either boiled or fried potatoes. A hearty, nourishing dish like Gruenkohl und Pinkel is commonly accompanied by local beer or wine. Traditionally, Germans celebrate winter with a Gruenkohlfahrt, a long walk to a country inn or a restaurant of their choice, where they eat a dinner of stewed kale and sausages."
Handkaese mit Musik,"Handkäse mit Musik is a German dish originating from Hesse. It consists of hand-formed handkäse (sour milk cheese) that's topped with raw onion vinaigrette. The onion marinade stands for music (Musik) from the name, which comes in the form of flatulence caused by consuming raw onions. However, the real reason why it has music in its name is because in the past, the onions were served on the side, while vinegar and oil were served in tiny jars that made music while the servers carried them on a plate. The dish is often served only with a knife, and it's typically accompanied by bread, caraway seeds, and apfelwein (apple cider) on the side."
Ostfriesentorte,"Ostfriesentorte is a traditional cake originating from Ostfriesen. It's made with a combination of sugar, flour, baking powder, eggs, bourbon, vanilla sugar, salt, and a thickening agent. The yolks and whites are separated, and the yolks are then beaten with vanilla sugar, sugar, hot water, flour, thickening agent, baking powder, and salt. The egg whites are then beaten until stiff and folded in with the stock of spirit raisins. The cake is baked, and it's then smeared with a mix of cream, cream stuff, stock of spirit raisins, and spirit raisins in alternating layers. The top is decorated with cream before the cake is served, while the sides can be garnished with chopped almonds."
Frankfurter Gruene Sosse mit Eiern und Kartoffeln,"Frankfurter grüne soße mit eiern und kartoffeln is a traditional dish originating from Frankfurt. The dish consists of green sauce, potatoes, and hard-boiled eggs. This famous local sauce is made with a mixture of sour cream, spices, and herbs such as chervil, borage, garden cress, salad burnet, parsley, chives, and sorrel. Once prepared, the sauce is served with chopped hard-boiled eggs and small boiled potatoes. This simple local specialty can be found in most traditional restaurants in the area. There are variations on the dish, so it's sometimes served with roasted potatoes instead of boiled potatoes."
Kohlwurst,"Kohlwurst is a traditional sausage that is particularly popular in northern Germany, especially in regions like Schleswig-Holstein and Lower Saxony. Its name translates to ""cabbage sausage"", as it is often served with kale (Grünkohl) or other cabbage-based dishes. Kohlwurst is typically made from pork, including fattier cuts, and is seasoned with salt, pepper, marjoram, and other spices. The sausage is usually smoked, giving it a rich and robust smoky flavor. It has a coarse texture due to the use of chunky pork cuts. The sausage is usually boiled or simmered before serving, often in stews or as a standalone dish with vegetables. The most common traditional use of Kohlwurst is in the dish ""Grünkohl mit Pinkel,"" where the sausage is boiled alongside kale and potatoes, allowing it to absorb the flavors of the vegetables and broth. It is typically served with boiled potatoes or kale and sometimes alongside other sausages like Pinkel or Bregenwurst. Kohlwurst is mostly enjoyed during the colder months, especially when kale is in season, making it part of hearty, warming winter meals."
Hausfreunde,"Hausfreunde are classic German Christmas cookies. In order to make them, a few layers of crispy shortcrust pastry are covered with apricot jam and almond paste, then dipped in dark chocolate and garnished with caramelized walnuts on top. The ingredients usually include flour, sugar, butter, eggs, salt, vanilla, almond paste, dark chocolate, apricot jam, and walnut halves. Before serving, the chocolate should be left to fully set. The name of these cookies means friend of the house, probably because they are easy to prepare and keep for unexpected guests during the festive Christmas season."
Kaesesahnetorte,"Käsesahnetorte, literally meaning ""cheese cream cake,"" is a traditional German and Austrian no-bake cheesecake, particularly popular in southern Germany and Austria, with roots in regions like Bavaria. This airy, refreshing dessert consists of a quark-based filling—a soft, fresh cheese—combined with whipped cream, gelatin, and occasionally tangerines or other fruit, all layered between rounds of light sponge cake (biskuitboden). Served cold, käsesahnetorte is prized for its fluffy, mousse-like texture and mildly sweet flavor, making it a favorite in kaffee und kuchen (coffee and cake) traditions. Its origin likely dates back to the early 20th century, when both quark and gelatin became more accessible in home kitchens. Käsesahnetorte is a dessert that stands as a lighter, fresher alternative to denser baked cheesecakes, such as the American New York-style cheesecake or the heavier German käsekuchen."
Brezenknoedel,"Brezenknödel is a type of bread dumpling made from soft pretzels, originating from the southern regions of Germany, particularly Bavaria. It is a variation of the more widespread Semmelknödel, which are dumplings made from day-old bread rolls. In the case of Brezenknödel, stale or leftover pretzels serve as the base ingredient, giving the dish a slightly saltier flavor and denser texture due to the unique characteristics of pretzel dough. The name combines Brezen, the Bavarian word for pretzel, and Knödel, which means dumpling in German. The preparation of Brezenknödel begins by slicing or cubing stale soft pretzels and soaking them in warm milk until softened. The mixture is then combined with sautéed onions, fresh parsley, eggs, and a pinch of nutmeg or black pepper for seasoning. The dough is gently mixed to avoid becoming too compact, then shaped by hand into balls. These dumplings are simmered in hot water until firm and cooked through, typically for 15 to 20 minutes. The pretzel base gives them a darker color and richer flavor compared to dumplings made from plain white bread. Brezenknödel is commonly served as a side dish with hearty Bavarian meals, especially those featuring meat and rich gravies such as Schweinebraten (roast pork), wild game, or mushroom sauces. It is also occasionally served with vegetarian dishes, particularly those involving creamy or wine-based sauces. The pretzel dumplings absorb sauce well, making them ideal for savory pairings. In many Bavarian households and restaurants, Brezenknödel is a way to repurpose leftover pretzels, reflecting a practical and resource-conscious approach to cooking. In recent years, Brezenknödel has gained modest popularity outside Bavaria, particularly in southern Austria and parts of Germany where Alpine culinary influence is strong. It is also occasionally featured in modern German restaurants that specialize in regional cuisine, offering diners a chance to experience a dish that connects the simple pretzel with the broader category of central European dumplings. "
Kluten,"Kluten is a German dumpling that is made with flour, milk, eggs, and butter. The batter is dropped into boiling water or soup using a spoon, and it is then cooked until done, yielding small and soft dumplings. These dumplings have a very mild flavor, so they pair well with both sweet and savory specialties. Kluten are often featured in dishes such as sweet buttermilk vanilla pudding (buttermilksuppe) and sour cherry soup (kirschsuppe)."
Pinkel,"Pinkel is a traditional sausage from the northwestern region, particularly associated with Lower Saxony, Bremen, and Oldenburg, as well as parts of Friesland. It is commonly eaten during the winter months, especially alongside the regional dish Grünkohl und Pinkel (kale and sausage). Pinkel sausage is made from a combination of pork fat, oat groats (or barley), onions, and a variety of spices. Despite being a sausage, it's relatively coarse in texture due to the inclusion of grains like oats. "
Gaisburger Marsch,"A German specialty originating from Swabia, gaisburger marsch is a meat stew based on beef cooked with a rich meat broth and vegetables. Once ready, the beef is usually cut into bite-sized pieces, accompanied by potatoes, carrots, and spätzle, all drizzled with the broth. Warm and packed with flavors, the dish is typically topped with roasted onions, parsley, and chives. There are several stories behind the name of this classic dish, which translates as the march of Gaisburg in English. Some say the stew was a favorite among officer candidates who would march to one of the Gaisburg restaurants to have a bowl of it, while other sources credit the wives of certain imprisoned Gaisburg locals for the creation of this stew. Regardless of who created the dish, this hearty Swabian stew remains a common traditional specialty beloved by many."
Rahmschwammerl,"Rahmschwammerl is a traditional Bavarian dish made with a combination of mushrooms, bacon, onions, butter, flour, stock, heavy cream, sour cream, and garlic paste. It's best to use both fresh and dried mushrooms for this dish. The ingredients are sautéed, then simmered over low heat until the mushrooms become soft. Once done, it's recommended to enrich the creamy mushroom sauce with chives, then serve the rahmschwammerl as a side dish with bread dumplings, ideally accompanied by a fresh green salad."
Agnes Bernauer Torte,"A signature specialty of the Krönner Confectionery and Café, Agnes Bernauer torte is a Bavarian almond meringue layer cake filled with coffee buttercream. The cake is comprised of several light and airy almond meringue discs that are layered with coffee buttercream filling and roasted almond flakes, then finished off with a thin layer of cream coating and some more roasted almonds on top. This original delicacy was created to honor a young lady called Agnes Bernauer, Duke Albert III of Bavaria’s beloved one, who was condemned to death by drowning in the Danube River by Albert’s father, Duke Ernst. Apart from this special dessert, the tragic history of Agnes Bernauer had also been the inspiration of renowned Friedrich Hebbel’s eponymous tragedy, as well as Carl Orff’s folk musical Die Bernauerin. Mildly sweet and with a nice crunch, this classic sweet treat is available only at the Krönner coffee house located in Straubing and the one in Garmisch-Partenkirchen."
Magdeburger Schmalzkuchen,"Magdeburger schmalzkuchen is a small, deep-fried pastry, considered a local specialty in the city of Magdeburg. It usually consists of yeast dough flavored with vanilla extract or vanilla sugar and lemon zest or juice. Typically rectangular or diamond-shaped, the fried pastries are consumed warm, dusted with confectioners' sugar. These small doughy pillows coated with confectioners' sugar are a staple at festivals, carnivals, and Christmas markets throughout the country."
Prinzregententorte,"A Bavarian specialty dessert called prinzregententorte is a smooth, chocolate-covered layer cake with a chocolate buttercream filling. The cake is comprised of thin cake layers that are smeared with chocolate buttercream and then finished off with a satin-like chocolate coating. It is sometimes enhanced with apricot or raspberry preserves and is usually adorned with whipped cream or chocolate cream and chocolate shavings on top. Originally, the cake had eight layers which represented the eight districts of Bavaria, but since there are only seven Bavarian districts today, the cake nowadays typically features seven layers. Prinzergententorte was created in honor of Prince Luitpold of Bavaria, who later became Prince Regent, thus the name of the cake. A piece of this authentic German dessert can be savored in numerous cake shops found throughout the region."
Kirschenmichel,"Kirschenmichel is a buttery German bread pudding enriched with sweet cherries. A common dessert in southern Germany, this sweet treat is typically flavored with cinnamon, cloves, Kirsch liqueur, vanilla extract, or almond extract. Moist and sweet, this bread pudding can be enjoyed warm, at room temperature, or chilled. It is usually dusted with powdered sugar and accompanied by vanilla custard, whipped cream, or ice cream. Kirschenmichel is generally consumed as a simple after-lunch dessert, but it is sometimes eaten for lunch as well."
Sahnehering,"Pickled or salted herring fillets are doused in a sweet and sour sauce of cream, yogurt, pickling liquid, and fresh herbs along with apples, pickles, and onions in this German specialty called sahnehering. Typical varieties of herring fillets used in this specialty include bismarck herring, matjes herring, or Baltic herring, and the dish is often finished with freshly chopped chives on top before serving. The refreshing combination is usually enjoyed chilled with boiled jacket potatoes and a cucumber salad on the side, but it can also be spread on a slice of buttered brown bread. Sahnehering is usually consumed as a side or snack, and it is a traditional fasting dish that's mainly prepared in northern Germany and the Rhineland."
Thueringer Rotwurst,"This is a specialty blood sausage made from pork, a small amount of pork liver, and spices and seasonings such as salt, black pepper, marjoram, allspice, cloves, and onions. It can often be found in butcher shops throughout Thuringia, and it has been prepared and consumed for centuries at farm slaughter festivals. Today, it is produced all over Thuringia by several major producers. Thüringer Rotwurst is known in the region as the ""queen of black pudding""."
Muscheln Rheinische Art,"Muscheln rheinische art is a traditional dish originating from the Rhine region. The dish is made with mussels from the North Sea and white wine from the middle and upper Rhine region as key ingredients. The mussels are cooked in vegetable stock and white wine, then served in their shells with a bit of stock. The dish is traditionally accompanied by brown bread and butter on the side. It’s usually served as an appetizer, but it can also be served as the main course. There are a few variations on the dish, so beer is sometimes added to the stock instead of wine."
Brathering,"Brathering is a traditional fish dish originating from Germany, consisting of marinated fried herring. Fresh herrings are rolled in flour or breaded, pan-fried, and marinated in a mixture of white wine vinegar, onions, sugar, salt, pepper, mustard seeds, and bay leaves. The dish is traditionally served cold, and it’s typically accompanied by fried potatoes, rösti, or potato salad. The herrings can also be used in sandwiches, and nowadays canned brathering can be bought in most stores. The dish is usually enjoyed for lunch or as a snack at street food stands."
Kruestchen Schnitzel,"Krüstchen schnitzel is a traditional dish originating from Frankfurt and the surrounding areas. The dish usually consists of a schnitzel that's served on a slice of toasted bread or rye bread. It's topped with a fried egg and traditionally served with french fries, pickles, roast potatoes, or potato salad on the side. The meat used for the preparation of the schnitzel is typically pork. The meat is pounded thin, coated with flour, dipped in beaten eggs, dredged in breadcrumbs, and then fried in butter or a mixture of oil and butter until golden brown and crispy. "
Speckpfannkuchen,"Speckpfannkuchen (lit. pancakes with bacon) is a type of savory pancake from Germany combined with cubes or strips of bacon. The bacon can either be on top of the pancake or used as a filling, but it’s always first fried before being incorporated into the dish. Besides bacon, the pancake may be modified to include cheese or onions. It is eaten as an appetizer or a hearty breakfast complemented with pickled cucumbers or a green salad."
Bremer Klaben,"This rich sweet bread is made with a heavy yeast dough mixed with candied fruit and nuts. It is one of the many traditional specialties of Bremen's cuisine. The recipe for Klaben dates back to the 16th century, when bakers in Hanseatic League cities gained access to exotic ingredients they were able to obtain through their member cities. The sweet bread is filled with raisins, almonds, various nuts, and orange and lemon peel. It is not sugar-dusted after baking, as opposed to Dresdner Stollen. The distinctive taste of this holiday favorite comes from the addition of cardamom, rum, or nutmeg. Klaben is usually baked at the beginning of December, and it can stay fresh until Easter."
Querrippe,"   In German butchery, querrippe refers to the cross rib portion of the beef, situated in the forequarter and extending from the lower part of the chuck down to the brisket. This cut comprises a mix of muscle and bone, with layers of fat and connective tissue interspersed throughout. The presence of the rib bone lends additional flavor to the meat. Due to its rich composition, the querrippe is especially suited for slow-cooking methods like braising or stewing. When subjected to prolonged heat, the connective tissues break down, yielding a tender and flavorsome result. This makes the querrippe a popular choice for dishes that emphasize depth of flavor and succulence.    "
Meenzer Spundekaes,"Originally from Mainz, meenzer spundekäs is a type of traditional cream cheese dip or spread. It typically consists of a mixture of cream cheese, quark, sour cream, finely chopped onions, and garlic, seasoned with sweet paprika, salt, and freshly ground pepper. The dip is usually topped with sliced onions and served with salty pretzels. It is typically paired with a glass of wine or a cold beer. Boiled potatoes and radishes can also accompany the dip, or they can be smeared on bread. Rich and creamy, this cheese dip is a staple at restaurants and wine taverns throughout the region. Besides Mainz, the dip is also commonly consumed throughout Rheinhessen and Rheingau regions. Its name is derived from the German words Spund, referring to the conical cork of a wooden wine barrel, and Käse, meaning cheese. Every year, a Spundekäs competition is held in honor of this Mainz specialty, known as Rheingau sucht den Super-Spundekäs, meaning Rhine District seeks the Super-Spundekäs."
Steckruebeneintopf,"Steckrübeneintopf is a traditional stew based on rutabagas and a combination of other root vegetables such as carrots, onions, and potatoes. All vegetables are usually cut into small cubes and then cooked in a vegetable broth seasoned with salt, pepper, nutmeg, and (optionally) dried herbs. Although this stew is typically considered a vegetarian dish, it is often enhanced with pieces of ham or sliced sausages. Rich and savory, the stew is usually eaten hot with slices of fresh, buttered bread. Eating rutabagas in Germany has long been associated with times of hardship as rutabaga dishes were a type of survival food for the war-stricken families in the country during both world wars of the 20th century. There is even a period during World War I that is known as Hunger winter or Steckrübenwinter, meaning Rutabaga winter. This root vegetable has nevertheless made its comeback and is nowadays available at numerous vegetable markets and supermarkets across Germany."
Bauernomelett,"Bauernomelett or farmer's omelet is a simple German dish that's usually served for breakfast, but sometimes also for lunch or dinner. It's made with a combination of bacon, onions, potatoes, parsley, eggs, and milk. The bacon, onions, and potatoes are sautéed slowly, and when the potatoes start to turn golden brown, a mixture of eggs and milk is poured into the pan. Cooked over high heat, the omelet can be turned over and browned on top, or it can be folded in half before serving. It's recommended to serve this hearty omelet with pickles on the side. If desired, the dish can be enriched with grated Emmentaler cheese while the omelet is cooking."
Herrencreme,"Herrencreme is a simple German dessert made with vanilla pudding, whipped cream, and grated bittersweet chocolate. It is usually flavored with an aromatic alcoholic beverage such as rum, whiskey, or cognac. Sweet and creamy, the dessert is typically served chilled in cups or bowls, topped with fruit, and sprinkled with chocolate shavings. A typical after-lunch sweet treat, herrencreme is also often served on festive occasions such as christenings, weddings, or Christmas."
Dibbelabbes,"Originally from Saarland, dibbelabbes is a combination of grated potatoes, leeks, and diced smoked or cured meat such as bacon or pork belly. This traditional German hash is typically seasoned with marjoram, nutmeg, parsley, salt and pepper, and then cooked in a large pot. The dish got its name from the Saarland local dialect’s words Dibbe, meaning a stewpot, and Labbes, which refers to a big piece of something. Traditionally accompanied by home-cooked apple purée, the dish is served while still hot, usually with a glass of beer or wine on the side. There's a variation on dibbelabbes called schales, consisting of the same ingredients, but made in a different way - it's baked in the oven."
Spannrippe,"In German butchery, spannrippe is a cut of beef derived from the forequarter, specifically the lower rib section, which is situated towards the belly of the animal. Spannrippe contains relatively lean meat with noticeable fibrous muscles. Its location on the animal means it has a good amount of connective tissue. Due to the exercise this part of the cow gets, it has a pronounced beefy flavor. Like other tough cuts, spannrippe is ideally suited for slow-cooking methods that allow its collagen and connective tissues to break down over time. It can be braised, stewed, or slow-roasted. In German cuisine, it might be used in hearty stews or traditional soups. To harness the full potential of the spannrippe, it's best to cook it slowly and gently. The collagen-rich tissues will break down, turning into gelatin, which adds richness to the dish. Browning the meat before stewing or braising can add depth to the final flavor. The beefy taste of the spannrippe pairs well with robust flavors. Root vegetables, aromatic herbs, and rich broths or wines can complement and enhance the meat's inherent flavors. Ingredients like onions, garlic, bay leaves, and juniper berries are often used in German dishes with such cuts. "
Weinkraut,"Weinkraut is a traditional side dish and a version of the famous sauerkraut. It's usually made with a combination of sauerkraut, butter, onions, sweet apples (e.g. Red Delicious), bay leaves, juniper berries, white wine, and peppercorns. The onions are sautéed in butter until translucent, and then mixed with thin strips of apple, sauerkraut, juniper berries, bay leaves, peppercorns, water, and white wine. The dish is cooked over low heat until the sauerkraut is not too dry nor too liquid and it's then served with grilled sausages."
"Birnen, Bohnen und Speck","This traditional North German specialty uses a combination of pears, green beans, and bacon (birnen, bohnen und speck in German), yielding a uniquely flavored dish. Peeled and cored cooking pears (kochbirnen) are simmered with French beans or string beans along with pieces of smoked streaky bacon until tender. They're cooked in an aromatic broth which is seasoned with summer savory, thyme, parsley, salt, and pepper. Sweet, savory, and smoky, the dish has been traditionally prepared from late summer through early fall, and it is typically enjoyed with a side of potatoes or German dumplings (klößen)."
Westfaelische Quarkspeise,"Westfälische quarkspeise is a trifle dessert with layers of creamy German quark and whipped cream, tart cherries (such as morello cherries), and crumbled pumpernickel (slightly sweet dark rye bread). Typically flavored with kirsch, amaretto, or rum and vanilla sugar, the dessert is usually assembled in a glass serving dish and enjoyed chilled, and it is often enhanced with chopped or shredded semisweet chocolate. Although quick and easy to make, this cold layered dessert packs quite a punch of flavor, especially after several hours of setting, which allows for the flavors to combine. This simple sweet treat uses two traditional German ingredients - German quark and Westphalian pumpernickel - which (combined with the tart cherries and additional flavorings) contribute to the dessert’s unique blend of sweet, slightly sour, earthy, and fruity flavors."
Kartoffelwurst,"Kartoffelwurst (lit. potato sausage) is a traditional sausage. This type of wurst is usually made with a combination of pork or beef, bacon, stewed onions, potatoes, and spices that vary from one region to another. Offal or groats are often added to the mixture. The sausage should consist of 50-70% chopped pork or beef and 30-50% of potatoes. Common spices used for kartoffelwurst include nutmeg, salt, and black pepper. The sausage mixture is stuffed into casings, and it's then usually fried before consumption. The texture of fried sausages is often mushy due to the fact that fat and gelatin liquefy when heated. It's recommended to serve kartoffelwurst with sauerkraut or boiled potatoes."
Kalbsleber Berliner Art,"Kalbsleber Berliner Art is a traditional dish originating from Berlin. The dish is usually made with a combination of calves' liver, flour, apples, butter, onions, oil, salt, and pepper. The onions are sautéed in oil, while the apples are sautéed in butter in another pan. The liver is rinsed, patted dry, sprinkled with flour, and browned in the pan where the onions have previously been sautéed. Once browned on both sides, it's seasoned with salt and pepper and topped with onions and apples. This specialty from Berlin is traditionally served with mashed potatoes on the side."
Thueringer Leberwurst,"At least 51% of the ingredients for this liver sausage must come from Thuringia. Added spices and seasonings such as salt, braised onions, ground pepper, and Thuringian marjoram give this sausage its special flavor. After preparation, the sausages are cooled and cold-smoked over beech wood until they reach a golden-yellow color. This delicacy enjoys a reputation as one of the most beloved sausages of the region. The tradition of preparing these sausages is as long as the Thuringian butcher's trade itself. Nowadays, Thüringer Leberwurst is still made at farm slaughter festivals and eaten fresh from the sausage pan. "
Plockwurst,"Plockwurst is a traditional dry-cured sausage that’s shaped into a block. It originates from Germany, but it’s also popular in the neighboring Austria. The sausage is made with a combination of lean beef and bits of connective tissue, semi-fat pork, back fat and trimmings, salt, sugar, black pepper, paprika, coriander, and dextrose. After it’s been stuffed in the casing, plockwurst is fermented at 20°C (68°F) for 3 days, smoked for 24 hours, and dried for 5 weeks before it’s ready for consumption."
Bergische Waffles,"Bergische waffles are traditional German waffles originating from the Bergisches Land area. They’re usually made with a combination of flour, sugar, butter, vanilla, eggs, baking powder, and milk. What differentiates these waffles is that they are always heart-shaped but also more crisp and less dense than their Belgian cousins. Traditional accompaniments include whipped cream and pitted sour cherries. Bergische waffles are usually not served for breakfast but as an afternoon treat, especially on Sundays, when they’re occasionally served with rice pudding. "
Saure Zipfel,"Saure zipfel is a traditional winter dish hailing from Franconia, consisting of bratwurst sausages that are simmered in a vinegar-based broth alongside onions, carrots, sugar, salt, and spices such as juniper berries, pepper, mustard seeds, and bay leaves. The broth is typically enhanced with a splash of white wine, and once ready, it is typically enjoyed piping hot, accompanied by slices of brown bread or a fresh pretzel bun for dipping on the side. When translated, the name of this dish means sour ends, which refers to the sharp flavor imparted to the sausages by the tangy broth. Saure zipfel is also often referred to as blaue zipfel (blue ends) due to the slightly bluish hue the sausages get once they’ve been cooked."
Bayerische Brezensuppe,"Bayerische brezensuppe is a traditional Bavarian soup made with pretzels (brezen in German), which are known for their distinct twisted shape and savory taste. The soup is typically prepared by boiling pretzels in broth until they are soft. It may also include other ingredients for added flavor, like onions, garlic, various herbs, and spices. The soup is often blended to a creamy consistency before serving. "
Hoorische,"Hoorische is a type of potato dumpling hailing from the German region of Saarland. The dumplings are typically made with a combination of both grated raw potatoes and boiled potatoes, along with ingredients such as eggs, flour, nutmeg, salt, and pepper. They usually take an elongated, either oblong or egg-shaped form and are simmered in boiling salted water. The name of these dumplings means hairy, referring to their rough, hairy-like outer surface due to coarsely grated potatoes. A creamy bacon gravy and a side of sauerkraut or apple sauce usually accompanies the dumplings. Just like other German potato dumplings, these also make for an excellent accompaniment to various meat specialties."
Herrentorte,"Herrentorte is a layered German cake known for its balanced combination of rich chocolate and subtle bitterness, created to appeal to those who prefer desserts that are less sugary and more refined in flavor. Its name means “gentlemen’s cake” in German, a reference to the fact that it was conceived as a dessert suited to mature tastes, with an emphasis on cocoa and occasionally coffee or liqueur notes rather than pronounced sweetness. The cake is believed to have developed in German-speaking Europe during the 20th century, emerging in bakeries that specialized in layer cakes and fine pastries. Though there is no single codified recipe, Herrentorte typically consists of several thin layers of sponge cake or shortcrust pastry, which are filled and covered with a bittersweet chocolate cream or a smooth dark ganache. Some variations incorporate thin spreads of fruit preserves, such as currant or apricot jam, to provide a gentle contrast to the chocolate. The surface is usually finished with a glossy chocolate glaze, and in some versions, decorated with chocolate shavings or piped cream. While the ingredients themselves are not unusual (flour, eggs, butter, sugar, and cocoa) the preparation requires care to produce an even, firm structure that slices cleanly. The restrained sweetness and focus on cacao make Herrentorte distinct from richer cream cakes and heavily frosted layer cakes more common in other European confectionery traditions. The cake is commonly served in German cafés, pastry shops, and on special occasions, presented in thin slices alongside coffee or dessert wine. Because of its understated taste, it appeals to those who appreciate desserts with deeper roasted and bitter notes rather than overtly sugary profiles. "
Kerbelsuppe,"Kerbelsuppe is a traditional soup originating from Germany. The soup is usually made with a combination of chervil, chicken stock, parsley, egg yolks, heavy cream, salt, and black pepper. The chervil is chopped and the stems are simmered in chicken stock over medium heat. The chervil leaves are puréed with cream and parsley. The egg yolks are whisked in the cream mixture, and it's then added to the pot with the stock. The soup is seasoned with salt and pepper and served piping hot. Kerbelsuppe is traditionally served on the Thursday before Good Friday."
Rote Wurst,"Rote Wurst is a traditional sausage that is especially popular in the Swabian region of southern Germany, mostly Baden-Württemberg. It is known for its distinctive red color, which comes from the addition of paprika and other seasonings. The sausage is typically made from finely ground pork or a mixture of pork and beef. It has a smooth texture and is usually pre-cooked and then either smoked or steamed, giving it a rich, savory flavor. One of the most common ways to prepare Rote Wurst is by grilling, particularly over an open flame, which adds a smoky, crisp exterior while keeping the inside juicy and flavorful. It's a popular street food, often served in a bread roll with mustard, much like a hot dog. It can also be sliced and served with traditional sides like potato salad, sauerkraut, or simply with bread and mustard. "
Griessnockerlsuppe,"Grießnockerlsuppe is a clear broth soup featuring small, oval-shaped semolina dumplings, and it originates from Austria, particularly associated with Viennese and Bavarian cuisine. This comforting dish is commonly found in alpine regions and is a staple in Austrian households as well as in German-speaking parts of Central Europe. Its history is rooted in rural and urban kitchens alike, where cooks developed various methods for stretching ingredients into nourishing meals. Semolina, being inexpensive and widely available, became a popular base for dumplings. Over time, semolina dumplings found a place in soups, and Grießnockerlsuppe became a fixture on menus ranging from home dinners to multi-course meals in finer establishments. In Vienna, it has been present in cookbooks and culinary records since at least the 19th century, often described in relation to soups served as part of larger meals or holiday feasts. The dumplings are made by combining fine semolina with butter, eggs, salt, and sometimes a touch of nutmeg. The mixture is left to rest, allowing the semolina to hydrate and firm up. Once ready, small spoonfuls are shaped into quenelle-like ovals and gently poached in simmering broth or water until they rise and become light and tender. The broth is typically a clear beef or chicken consommé, prepared with care to bring depth and clarity to the soup without overpowering the mild flavor of the dumplings. Occasionally, chives or parsley are sprinkled on top for color and freshness. Shaping the dumplings requires attention to texture and timing; if the semolina is too coarse or the mixture under-rested, the dumplings can fall apart or remain dense. Many home cooks have learned by trial and repetition, often passing down their own approach through generations. Some recipes advise testing one dumpling first before poaching the rest, ensuring the consistency is right before committing the full batch. Grießnockerlsuppe is often served as a first course during formal meals but also appears regularly as a light lunch or dinner, especially during colder months. It is found in Gasthäuser across Austria and southern Germany, and is a common offering at weddings, Sunday lunches, and festive gatherings. "
