DishName,Description,Region,MainIngredient,Ingredients,StateOfMainIngredient,DietType,MealEatenAtPartOfDay,Variations,FlavorProfiles,PreparationMethod,PreparationTimeMinutes,MeatCut
Meerrettichsauce,"Horseradish sauce, a creamy condiment with a sharp bite.","Bavaria, Austria, Switzerland",Horseradish,"horseradish, creme fraiche, vinegar, sugar, salt, pepper",grated,"vegetarian, omnivore",anytime,"with lemon, with apple, with dill","bitter, savory, tangy, aromatic",mixing,5,
Mehlkloesse DDR Rezept,"Dumplings made from flour, often served with a savory sauce.","East Bohemia, Poland, Austria",Flour,"flour, potato, milk, egg, salt, nutmeg, marjoram",boiled,"vegetarian, omnivore","lunch, dinner","with quark, with fruit compote, savory","savory, creamy, mild, buttery",boiling,25,
Mehlsuppe,"A simple, creamy soup made from flour and water.","Bavaria, Austria, Switzerland",Flour,"flour, water, salt, pepper, herbs, vegetables, butter",cooked,"vegetarian, vegan, omnivore","lunch, dinner","with vegetables, with herbs, with broth","mild, creamy, savory",boiling,20,
Mett,"Minced raw beef seasoned with onions and spices, often served on rye bread.","North Rhine-Westphalia, Lower Saxony, Netherlands",Beef,"beef, onion, salt, pepper, paprika, caraway, rye bread",raw,"omnivore, halal, kosher","breakfast, anytime","Mettigel, Mettbrötchen","savory, aromatic, salty, umami",mixing,5,beef mince
Mett ,"Minced raw beef, seasoned with onions and spices, typically served on rye bread.","North Rhine-Westphalia, Lower Saxony, Netherlands",Beef,"beef, onion, salt, pepper, paprika, caraway, rye bread",raw,omnivore,"breakfast, anytime","with raw egg, with gherkins","savory, aromatic, mild",mincing,5,beef
Mettwurst,"A spreadable, fermented sausage.","North Rhine-Westphalia, Bavaria, Austria",Pork,"pork, salt, pepper, garlic, coriander, marjoram",fermented,"omnivore, halal",anytime,"with horseradish, with caraway, with paprika","savory, smoky, aromatic, spicy",fermentation,5,
Mettwurst,"A spreadable, fermented sausage with a coarse texture.","North Rhine-Westphalia, Bavaria, Austria, Switzerland",Pork,"pork, salt, pepper, garlic, coriander, paprika",raw,"omnivore, halal",anytime,"smoked, with caraway, with cheese","savory, spicy, aromatic, smoky",fermentation,5,
Miesmuscheln auf rheinische Art mit Schwarzbrot,"Mussels cooked in a rich onion and bacon gravy, typically served with rye bread.","Rhineland, North Rhine-Westphalia, Netherlands",Mussels,"mussels, bacon, onion, butter, white wine, black pepper, parsley, rye bread",cooked,"omnivore, anytime","lunch, dinner","with celery, with broth","savory, aromatic, buttery, smoky",simmering,25,
Milbenkaese,"Soft cheese with mites, a specialty with a distinctive flavor.","Baden-Wurttemberg, France, Switzerland",Cheese,"cheese, mites, salt",soft,vegetarian,anytime,different cheese types,"earthy, cheesy, creamy, aromatic, nutty",aging,10,
Milchkohl,Braised leafy greens with a creamy sauce.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Kale,"kale, potatoes, onions, milk, bacon, nutmeg, marjoram, vegetable oil",boiled,"vegetarian, omnivore","lunch, dinner","with smoked sausage, without bacon","savory, creamy, nutty, earthy, aromatic",braising,35,
Milchnudeln,Soft egg noodles in a creamy cheese sauce.,"Bavaria, Austria, South Tyrol",Egg Noodles,"egg noodles, milk, flour, butter, cheese, nutmeg, salt, pepper",boiled,"vegetarian, omnivore","lunch, dinner","with breadcrumbs, with vegetables","creamy, cheesy, buttery, mild, savory",covered in sauce,20,
Milchsuppe DDR Rezept,"A simple, creamy soup, historically associated with East consumption.","Poland, Czech Republic, Austria",Milk,"milk, semolina, sugar, salt, lemon zest, vanilla extract",liquid,"vegetarian, omnivore",anytime,"with fruit, with berries, with raisins","creamy, sweet, aromatic, mild",boiling,15,
Mini Berliner,"Small deep-fried dough balls, often filled with jam or filled with other fillings.","Berlin, Brandenburg, Austria, Poland",Dough,"Flour, yeast, sugar, milk, eggs, oil, jam, powdered sugar",Fried,"vegetarian, omnivore",anytime,"filled with chocolate, vanilla custard, quark","sweet, creamy, buttery",frying,10,
Mini Mettigel auf Brot,Small hedgehog-shaped appetizers made with seasoned ground meat served on bread.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Ground Beef,"Ground Beef, Onion, Pickles, Paprika, Mustard, Bread, Parsley, Spices",raw,omnivore,anytime,"with different spices, different bread","savory, umami, aromatic, tangy",formed,15,Ground Beef
Mini-Schnitzel in Kraeuter-Nuss-Panade,"Small, breaded cutlets with a herb and nut coating.","Bavaria, Austria, Switzerland",Pork,"pork, flour, eggs, breadcrumbs, herbs, nuts, salt, pepper, oil",sliced,omnivore,"lunch, dinner","chicken, veal","savory, nutty, aromatic, buttery",frying,15,pork loin
Minutensteaks vom Kalb mit Roestzwiebeln & Bratkartoffeln,Pan-fried veal steaks served with caramelized onions and fried potatoes.,"Bavaria, Austria, Switzerland",Veal,"veal steaks, onions, potatoes, oil, salt, pepper, herbs",sliced,omnivore,dinner,"with different sauces, with mushrooms","savory, buttery, aromatic, mild",frying,15,veal steak
Moehren-Fenchel-Durcheinander,A vibrant and flavorful vegetable medley.,"Northern Europe, Netherlands, Austria",Carrot,"carrot, fennel, onion, vegetable broth, olive oil, herbs, salt, pepper",cooked,"vegetarian, vegan, omnivore","lunch, dinner","with potatoes, with sausage, roasted","aromatic, savory, earthy, tangy, mild",roasting,35,
Moehren-Frikadellen mit Kartoffelstampf & Bundmoehren,Pan-fried carrot patties served with mashed potatoes and carrots.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Carrot,"carrot, potato, onion, breadcrumbs, egg, milk, butter, salt, pepper, nutmeg",grated,"vegetarian, omnivore","lunch, dinner","with lentils, with celery root, with herbs","savory, umami, earthy, buttery, mild",frying,25,
Moehreneintopf,A hearty stew with smoked meat and potatoes.,"Bavaria, Austria, Tirol",Potato,"potato, smoked pork, onion, celery, carrot, broth, marjoram, thyme, bay leaf, pepper, salt",boiled,omnivore,"lunch, dinner","with sausage, with dumplings","savory, smoky, aromatic, earthy, mild",boiling,60,smoked pork belly
Moehreneintopf mit Hackfleisch,Hearty stew with ground meat and root vegetables.,"Bavaria, Austria, Switzerland",Ground Meat,"ground meat, potatoes, carrots, celery root, onions, broth, bay leaf, marjoram, pepper, salt",cooked,"omnivore, anytime","lunch, dinner","with dumplings, with bread","savory, umami, aromatic, earthy",simmered in sauce,60,ground beef
Mohnkuchen,"Poppy seed cake with a sweet, nutty flavor.","Bavaria, Austria, Switzerland",Poppy seeds,"poppy seeds, flour, eggs, sugar, milk, lemon zest, baking powder, butter",ground,"vegetarian, vegan",anytime,"with apples, with raisins, with quark","sweet, nutty, buttery, creamy",baked,35,
Mohnpielen,Poppy seed cake with a crispy crust.,"Bavaria, Austria, Switzerland",Poppy Seeds,"poppy seeds, flour, sugar, eggs, milk, lemon zest, baking powder, butter",ground,"vegetarian, vegan",anytime,"with nuts, with raisins, filled","sweet, nutty, aromatic",baked,25,
Mohnstriezel,Sweet yeast bread filled with poppy seed filling.,"Saxony, Bavaria, Austria, Czech Republic",Dough,"flour, yeast, milk, eggs, butter, sugar, poppy seeds, lemon zest, rum",baked,"vegetarian, omnivore",anytime,"different fillings, glazed version","sweet, nutty, buttery, aromatic",baked,45,
Mohntorte,"Poppy seed cake with a rich, nutty flavor.","Bavaria, Austria, Saxony, Thuringia",Poppy Seeds,"poppy seeds, flour, sugar, eggs, butter, milk, lemon zest, vanilla",ground,"vegetarian, omnivore",anytime,"with fruit, with nuts, glazed","sweet, nutty, buttery, creamy",baked,45,
Mooskuchen,"A moss-like cake with a creamy, often lemon-flavored, filling.","Bavaria, Austria, Switzerland",Cake,"flour, sugar, butter, eggs, lemon zest, cream, vanilla",baked,"vegetarian, omnivore",anytime,"chocolate, rum","sweet, creamy, aromatic, buttery, tangy",baking,45,
Mortadella,"Emulsified, finely ground meat sausage with pistachio and other spices.","Bavaria, Austria, Italy",Pork,"pork, pistachio, spices, fat, coriander, nutmeg, pepper",sliced,"omnivore, halal",anytime,"with cheese, truffle, smoked","savory, nutty, aromatic, creamy, mild",curing,5,
Muenchner Weisswurst,"A white sausage, traditionally enjoyed with sweet mustard and pretzels.","Bavaria, Austria, Switzerland",Sausage,"pork, veal, onion, parsley, marjoram, lemon zest, salt, pepper, mace, ginger, cardamom",boiled,omnivore,breakfast,with different spice blends,"savory, aromatic, mild, buttery",boiling,15,
Muscheln in Tomatensauce,Mussels cooked in a tomato-based sauce.,"North Sea coast, Netherlands, Austria",Mussels,"mussels, tomatoes, garlic, onion, white wine, parsley, olive oil, salt, pepper",cooked,"omnivore, vegetarian",dinner,"with cream, with herbs, with chili","savory, umami, aromatic, tangy",simmered,20,
Mutze,A savory potato dumpling served with braised beef or vegetarian gravy.,"Bavaria, Austria, Switzerland",Potato,"potato, flour, onion, marjoram, salt, pepper, beef broth, gravy thickener",boiled,"vegetarian, omnivore","lunch, dinner","with beef, with vegetables, with cheese","savory, buttery, earthy, mild",boiled,30,
Muzenmandeln,Roasted almonds coated in sugar and lemon.,"Bavaria, Austria, Switzerland",Almonds,"almonds, sugar, lemon zest, water",roasted,"vegetarian, vegan, kosher, halal",anytime,"different citrus fruits, spices","sweet, tangy, nutty, aromatic",roasting,10,
Neue Kartoffeln mit laktosefreiem Kraeuterquark und Salat,New potatoes served with lactose-free herb quark and salad.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Potatoes,"potatoes, quark, herbs, salad, oil, vinegar, salt, pepper",boiled,"vegetarian, omnivore","lunch, anytime","with different herbs, with vegan quark","savory, creamy, mild, aromatic",boiling,15,
Nocken (Gericht),Potato dumplings served with a rich sauce.,"Trentino-Alto Adige, Veneto, Austria, Switzerland",Potato,"potato, flour, egg, butter, parmesan, milk, nutmeg, salt, pepper",boiled,"vegetarian, omnivore","lunch, dinner","with speck, with cheese, with spinach","savory, cheesy, creamy, buttery, nutty","boiled, pan-fried",25,
Norddeutsche Pfannkuchen,"Large, thin pancakes, often served with toppings.","Lower Saxony, Schleswig-Holstein, Hamburg, Netherlands",Batter,"flour, milk, eggs, sugar, salt, butter",uncooked,"vegetarian, omnivore","breakfast, anytime","with fruit, with applesauce, with savory fillings","sweet, buttery, creamy, mild",frying,15,
Nordisches Fischbroetchen,Open-faced sandwich with fish and various toppings.,"Northern Europe, Denmark, Sweden, Norway",Fish,"rye bread, fish, mayonnaise, lemon, dill, onion, cucumber, tomato",smoked,"omnivore, vegetarian","breakfast, anytime","with shrimp, with herring, with smoked salmon","savory, creamy, tangy, aromatic, mild",sliced,5,
Nordsee-Schellfisch an Senfsosse,"Pan-fried cod fillet in a mustard sauce, often served with potatoes and vegetables.","North Sea, Hamburg, Schleswig-Holstein, Netherlands",Cod,"cod fillet, mustard, vinegar, broth, cream, flour, oil, onion, parsley",pan-fried,"omnivore, halal, kosher","lunch, dinner","with lemon, with capers, with dill","savory, tangy, creamy, aromatic",pan-frying,20,
Nuernberger Rostbratwuerstchen auf Steckrueben-Gemuese,Grilled Nuremberg sausages served with rutabaga and vegetables.,"Bavaria, Austria, Czech Republic",Rostbratwuerstchen,"rutabaga, vegetables, spices, mustard",grilled,omnivore,"lunch, dinner","with sauerkraut, with potato salad","savory, smoky, aromatic, mild",grilling,15,
Nuernberger Wurst,"Small, grilled sausages served with sauerkraut and mustard.","Bavaria, Franconia, Austria, Czech Republic",Sausage,"pork, veal, marjoram, caraway, salt, pepper, garlic, onion, mustard, sauerkraut",grilled,"omnivore, halal","lunch, dinner","with sauerkraut, with potatoes","savory, aromatic, smoky, mild, buttery",grilling,15,
Nuss-Spekulatius-Stollen,A festive bread-like dessert with nuts and spiced cookies.,"North Rhine-Westphalia, Bavaria, Austria",Dough,"flour, sugar, yeast, milk, butter, eggs, nuts, speculoos cookies, marzipan, candied fruit, lemon zest, cinnamon, nutmeg",baked,"vegetarian, omnivore",anytime,"different nut combinations, different spices, chocolate coating","sweet, nutty, aromatic, buttery, fruity",baked,120,
Nusskuchen,A cake flavored with nuts and often with raisins.,"Bavaria, Baden-Württemberg, Austria, Switzerland",Nuts,"nuts, flour, butter, sugar, eggs, raisins, baking powder, vanilla",ground,"vegetarian, omnivore",anytime,"with apples, with pears, chocolate","sweet, nutty, aromatic, creamy",baking,45,
Nusstorte,A pastry filled with a rich walnut cream.,"Baden-Württemberg, Bavaria, Austria, Switzerland",Walnuts,"walnuts, flour, butter, sugar, eggs, vanilla, lemon zest, milk",ground,"vegetarian, kosher",anytime,"different crust types, different fillings","sweet, nutty, creamy, buttery, aromatic",mixing,30,
Nusszopf,Sweet bread with nuts and raisins.,"Bavaria, Austria, Switzerland",Dough,"flour, yeast, milk, butter, sugar, nuts, raisins, eggs, vanilla",baked,"vegetarian, omnivore","breakfast, anytime","different nut varieties, chocolate chips","sweet, nutty, buttery, creamy, aromatic",baked,30,
Obazda,"A creamy cheese spread, often served with bread or pretzels.","Bavaria, Austria, Switzerland",Camembert,"Camembert, butter, paprika, cumin, milk, salt",softened,"vegetarian, omnivore",anytime,"with different types of cheese, with beer","creamy, cheesy, savory, aromatic, nutty",mixing,10,
Ochsenfetzen-Semmeln mit Biersauce,Braised beef chunks served in bread rolls with beer sauce.,"Bavaria, Austria, Swabia",Beef,"beef, onion, beer, beef broth, flour, bread rolls, bay leaf, marjoram, salt, pepper",braised,omnivore,"lunch, anytime","different beer types, different bread rolls","savory, umami, aromatic, buttery",braising,45,beef chuck
Ochsenschwanzragout mit Dunkelbiersauce,Braised ox tail in a rich dark beer sauce.,"Bavaria, Austria, Switzerland",Ox Tail,"ox tail, dark beer, onions, carrots, celery, beef broth, tomato paste, bay leaf, thyme, salt, pepper",braised,omnivore,dinner,"with mashed potatoes, with dumplings, with polenta","savory, umami, aromatic, smoky, earthy",braising,240,Ox Tail
Ofen-Kartoffelsalat mit Fruehlingsgemuese,Baked potato salad with spring vegetables.,"Bavaria, Austria, Switzerland",Potato,"potato, spring vegetables, onion, vegetable broth, vinegar, oil, mustard, herbs, salt, pepper",baked,"vegetarian, omnivore","lunch, dinner, anytime","with bacon, with cheese, with mayonnaise","savory, buttery, tangy, aromatic",baked,35,
Ofenkaese,Baked cheese dish with toppings.,"Bavaria, Austria, Switzerland",Cheese,"cheese, cream, eggs, bacon, onions, breadcrumbs, nutmeg, pepper",grated,"vegetarian, omnivore",dinner,"with apples, with pears, with ham","savory, cheesy, creamy, buttery, nutty",baked,30,
Oktoberfest Hotdog,A grilled sausage served in a bun with toppings.,"Bavaria, Austria, Switzerland",Sausage,"sausage, bun, mustard, ketchup, relish, onions, sauerkraut",grilled,"omnivore, halal",anytime,"bratwurst hotdog, currywurst hotdog, cheese dog","savory, smoky, buttery, tangy",grilling,10,
Omas Hackbraten,"A baked meatloaf, often served with gravy and sides.","Bavaria, Austria, Switzerland",Ground Meat,"ground meat, breadcrumbs, onion, egg, milk, salt, pepper, herbs, bacon, mustard",baked,omnivore,dinner,"with vegetables, with cheese, with apples","savory, aromatic, buttery",baked,45,mixed beef and pork
Omas Kartoffelkuchen,"A baked potato cake, often served as a comforting side dish.","Bavaria, Austria, Switzerland",Potato,"potato, onion, flour, milk, egg, cheese, bacon, salt, pepper, nutmeg",mashed,"vegetarian, omnivore","lunch, dinner","with apples, with quark, with spinach","savory, cheesy, creamy, buttery, mild, earthy",baked,45,
Omas Kohlrabi Eintopf,"A hearty vegetable stew, often served with bread.","Bavaria, Austria, Switzerland",Kohlrabi,"kohlrabi, potatoes, carrots, celery, onions, vegetable broth, bay leaf, marjoram, thyme, salt, pepper",boiled,"vegetarian, vegan, omnivore","lunch, dinner","with smoked sausage, with bacon, with barley","savory, earthy, aromatic, mild",boiling,45,
Omas Wirsing-Gemuese,Braised cabbage with bacon and onions.,"Bavaria, Austria, Baden-Wurttemberg",Cabbage,"cabbage, bacon, onion, vegetable broth, vinegar, sugar, thyme, bay leaf, pepper, salt",braised,"omnivore, vegetarian","lunch, dinner","without bacon, with apples, with potatoes","savory, aromatic, tangy, buttery",braising,45,bacon
Omelett mit Spargel,Fluffy baked egg dish with asparagus.,"Bavaria, Baden-Württemberg, Austria",Asparagus,"eggs, asparagus, milk, salt, pepper, butter, chives",boiled,"vegetarian, omnivore","breakfast, lunch, anytime","with cheese, with ham, with potatoes","savory, creamy, buttery, mild, aromatic",frying,15,
Ostfriesische Kueche,"A savory dish featuring dumplings and a rich gravy, often with vegetables.","East Frisia, Lower Saxony, Netherlands",Dumpling,"dumplings, gravy, vegetables, onions, celery, carrots, herbs, spices",boiled,"vegetarian, omnivore","lunch, dinner","with meat, vegetarian","savory, aromatic, buttery, earthy",boiled,30,
Panierter Blumenkohl ohne Vorkochen,"Breaded cauliflower florets, typically served as a side dish or appetizer.","Bavaria, Austria, Switzerland",Cauliflower,"cauliflower, flour, eggs, breadcrumbs, salt, pepper, oil",raw,"vegetarian, vegan, omnivore",anytime,"with different sauces, with parmesan, baked","savory, cheesy, creamy, mild, buttery",fried,20,
Pannfisch mit Bratkartoffeln,Pan-fried fish served with fried potatoes.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Cod,"cod, potatoes, onion, flour, oil, salt, pepper, parsley",filleted,"omnivore, halal, kosher","lunch, dinner","using other types of fish, with lemon, with different herbs","savory, buttery, mild, aromatic",pan-fried,25,
Paprika-Rahm-Schnitzel mit Kartoffelbrei,"Breaded cutlet in a creamy paprika sauce, served with mashed potatoes.","Bavaria, Austria, Switzerland",Schnitzel,"chicken, paprika, cream, onion, breadcrumbs, flour, egg, potatoes, butter, milk, salt, pepper","breaded, fried",omnivore,"lunch, dinner","pork schnitzel, vegetable schnitzel","savory, creamy, aromatic, buttery, mild, umami",frying,20,chicken breast
Pasta mit hausgemachter Bolognese Sosse,"Pasta served with a rich, homemade meat sauce.","Bavaria, Austria, Switzerland",Pasta,"pasta, ground beef, onions, carrots, celery, tomato paste, crushed tomatoes, red wine, olive oil, garlic, herbs, salt, pepper",boiled,"omnivore, vegetarian",dinner,"with ricotta, with mushrooms, with different types of pasta","savory, umami, aromatic, tangy, buttery",engulfed in sauce,30,ground beef
Pellkartoffeln im Schnellkochtopf,"Mashed potatoes cooked in a pressure cooker, often served with toppings.","North Rhine-Westphalia, Bavaria, Austria",Potato,"potato, salt, pepper, butter, milk, sour cream, chives, bacon, onion",boiled,"vegetarian, omnivore","lunch, dinner","with bacon, with sour cream, with herbs, with cheese","savory, buttery, creamy, mild, earthy",boiling,20,
Pellkartoffeln mit dreierlei Quark,Boiled potatoes served with three types of quark cheese and toppings.,"North Rhine-Westphalia, Bavaria, Austria",Potato,"potatoes, quark, chives, sour cream, bacon, paprika, olive oil, salt, pepper",boiled,"vegetarian, omnivore","lunch, dinner","with different toppings, with herbs","savory, creamy, mild, buttery",boiling,20,
Pfaelzer Saumagen,A traditional dish of minced meat encased in a pig's stomach.,"Rhineland-Palatinate, Bavaria, Saarland",Pork,"pork, onions, potatoes, bacon, caraway, marjoram, salt, pepper, vinegar, broth",boiled,omnivore,"lunch, dinner","with mashed potatoes, with sauerkraut","savory, aromatic, tangy, buttery",boiling,90,
Pfannkuchen mit Kaese,Savory pancakes filled with cheese and pan-fried.,"Bavaria, Austria, Switzerland",Pancake,"flour, eggs, milk, cheese, salt, pepper, butter",raw,"vegetarian, omnivore",anytime,"with bacon, with spinach, with herbs","savory, cheesy, buttery, mild",frying,15,
Pfeffernuss,"Small, spiced cookies, often enjoyed with coffee or tea.","North Rhine-Westphalia, Lower Saxony, Netherlands",Flour,"flour, butter, sugar, honey, spices, lemon zest",baked,"vegetarian, omnivore",anytime,"different spice combinations, chocolate coating","sweet, spicy, aromatic, nutty",baking,25,
Pfefferpotthast,Beef stewed in a creamy pepper sauce.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Beef,"beef, onions, bell peppers, cream, beef broth, white wine, mustard, juniper berries, bay leaf, peppercorns, butter, flour",sliced,omnivore,dinner,"with mushrooms, with bacon, with different types of peppers","savory, aromatic, creamy, tangy, spicy",braising,60,beef chuck
Pflaumenkompott mit Zimt & Vanille,Stewed plums with cinnamon and vanilla.,"Bavaria, Austria, Switzerland",Plum,"plums, cinnamon, vanilla, sugar, lemon juice",boiled,"vegetarian, vegan, omnivore",anytime,"with apples, with raisins, with Amaretto","sweet, fruity, aromatic, tangy",simmering,15,
Pflaumenmuskuchen DDR Rezept,Plum cake popular during the DDR era.,"Eastern Europe, Austria, Switzerland",Plums,"plums, flour, sugar, eggs, butter, baking powder, vanilla",baked,"vegetarian, omnivore",anytime,"different plum varieties, crumble topping","sweet, fruity, aromatic",baking,60,
Pichelsteiner Eintopf,Hearty stew with root vegetables and meat.,"Hesse, Rhineland-Palatinate, Baden-Württemberg",Root Vegetables,"carrots, potatoes, celery root, onions, beef, bacon, red wine, beef broth, bay leaf, juniper berries, peppercorns",boiled,"omnivore, halal, kosher","lunch, dinner","vegetarian version, with different meats","savory, earthy, aromatic, smoky, umami",boiling,60,beef chuck
Pikante Sauerkraut-Quiche,A savory tart with a tangy sauerkraut filling.,"Bavaria, Baden-Württemberg, Austria",Sauerkraut,"sauerkraut, eggs, cream, bacon, onions, cheese, flour, butter, nutmeg",fermented,"vegetarian, omnivore","lunch, dinner","with different cheeses, vegetarian","sour, savory, cheesy, creamy, aromatic, tangy",baked,35,bacon
Pizzazopf mit Herbstgemuese,Braided bread with seasonal vegetables,"Switzerland, Bavaria, Austria",Bread,"flour, yeast, milk, butter, vegetables, salt, herbs",baked,"vegetarian, omnivore",anytime,"with cheese, with different vegetables, sweet version","savory, buttery, aromatic, mild",baked,45,
Plinse,"Pancake-like dough, often folded around fillings and served with toppings.","Baden-Wurttemberg, Rhineland-Palatinate, Switzerland, Austria",Dough,"flour, eggs, milk, water, salt, butter, sugar, fillings (e.g. cheese, fruit, spinach)",cooked,"vegetarian, omnivore",anytime,"sweet, savory, with fruit, with cheese, with spinach","savory, buttery, mild, creamy",frying,15,
Pochiertes Kasseler mit gruener Sosse,Poached cured pork served with a creamy herb sauce.,"Rhineland-Palatinate, North Rhine-Westphalia, Luxembourg",Kasseler,"Kasseler, parsley, chives, vinegar, cream, vegetable broth, peppercorns, bay leaf, onions",Poached,omnivore,"lunch, dinner","Served with potatoes, sauerkraut, pickles","savory, aromatic, buttery, tangy",Poaching,25,Cured Pork Shoulder
Pollackfilet nach Hausfrauenart,Pan-fried cod fillet in a creamy sauce.,"Northern Europe, Baltic Sea region",Cod,"cod fillet, flour, butter, onion, cream, lemon, parsley, salt, pepper",fillet,"omnivore, kosher","lunch, dinner","with potatoes, with capers, with pickles","creamy, buttery, savory, mild, aromatic",frying,20,
Porree-Suppe mit Mettwurstchips,Creamy leek soup garnished with crispy cured sausage slices.,"Bavaria, Baden-Württemberg, Austria",Leek,"leek, potatoes, broth, cream, butter, cured sausage, salt, pepper, nutmeg",boiled,"omnivore, vegetarian","lunch, dinner","without cream, with cheese, with croutons","savory, creamy, buttery, mild, aromatic",boiling,25,
Porreegemuese DDR Rezept,Creamy vegetable stew with leeks.,"East Brandenburg, Saxony, Poland",Leek,"leek, potatoes, carrots, celery root, vegetable broth, oil, salt, pepper, marjoram",sliced,"vegetarian, vegan, omnivore","lunch, dinner","with bacon, with sausage, with smoked tofu","savory, creamy, aromatic, mild, earthy",braising,25,
Pottsuse,A hearty stew typically served with potatoes and bread.,"North Rhine-Westphalia, Lower Saxony, Netherlands",Pork,"pork, potatoes, onions, carrots, celery, broth, bay leaf, juniper berries, vinegar, salt, pepper",cubed,omnivore,"lunch, dinner","with beef, with poultry","savory, umami, aromatic, mild, tangy",braising,90,pork shoulder
Prasselkuchen,A baked fruit dessert with a crumbly streusel topping.,"Bavaria, Austria, Switzerland",Apples,"apples, flour, sugar, butter, cinnamon, lemon juice, vanilla",sliced,"vegetarian, omnivore",anytime,"plum, cherry, pear","sweet, fruity, buttery, aromatic",baked,45,
Presswurst,"A coarse, smoked pork sausage, often served in a bun.","Bavaria, Austria, Switzerland",Pork,"pork, salt, pepper, garlic, marjoram, coriander, dextrose, sodium nitrate, sodium nitrite",smoked,omnivore,anytime,"with cheese, with mustard, with horseradish","savory, smoky, aromatic, mild",smoking,10,
Prinzregententorte,Layered cake with buttercream and jelly filling.,"Bavaria, Austria, Switzerland",Sponge cake,"eggs, flour, sugar, butter, vanilla, apricot jam, raspberry jam, lemon juice, cream",baked,"vegetarian, omnivore",anytime,"different fruit jams, chocolate variations","sweet, creamy, fruity, buttery, aromatic",baking,30,
Prophetenkuchen DDR Rezept,A spiced yeast cake often enjoyed during the Advent season.,"Saxony, Thuringia, Brandenburg, Poland",Yeast Dough,"yeast, flour, milk, sugar, raisins, candied citrus peel, cinnamon, cardamom, nutmeg, butter, egg",baked,"vegetarian, omnivore","breakfast, anytime","filled variations, marzipan, icing","sweet, aromatic, fruity, nutty, buttery",baked,60,
Puddingschnecke,Swirled pastry filled with cinnamon and sugar.,"Bavaria, Austria, Switzerland",Dough,"flour, sugar, milk, butter, yeast, cinnamon, vanilla",baked,"vegetarian, kosher",anytime,"filled with marzipan, chocolate","sweet, creamy, buttery, aromatic",baked,25,
Pumuckel,A fluffy pancake often served with fruit and cream.,"Bavaria, Austria, Switzerland",Pancake,"flour, milk, eggs, sugar, butter, vanilla, fruit, cream",baked,"vegetarian, omnivore","breakfast, anytime","with jam, with chocolate, savory fillings","sweet, creamy, buttery, fruity",frying,15,
Quark-Mohnkuchen,"A sweet cake with a creamy, tangy filling and poppy seed topping.","Northern, Eastern, Bavaria, Austria, Switzerland",Quark,"quark, flour, sugar, eggs, butter, poppy seeds, lemon zest, baking powder, vanilla",creamy,"vegetarian, omnivore","anytime, breakfast","with fruit, with chocolate","sweet, creamy, tangy, nutty, buttery",baked,35,
Quark-Spaetzle mit Champignons und Feta-Salat,Soft cheese dumplings with sauteed mushrooms and a feta salad.,"Swabia, Bavaria, Austria",Quark,"quark, flour, eggs, milk, mushrooms, feta cheese, lettuce, cucumber, tomatoes, olive oil, vinegar, herbs",soft,"vegetarian, omnivore","lunch, dinner","with spinach, with different cheeses, with bacon","savory, creamy, tangy, aromatic, cheesy",fried,20,
Quarkbaellchen,"Small, fluffy dumplings made with quark cheese, often served with fruit or a sweet sauce.","North Rhine-Westphalia, Lower Saxony, Austria",Quark,"quark, flour, eggs, sugar, vanilla, lemon zest, raisins, powdered sugar",soft,"vegetarian, omnivore","breakfast, anytime","with poppy seeds, with cinnamon, savory","sweet, creamy, aromatic, mild, fruity",baked,15,
Quarkkeulchen,Pan-fried cheese dumplings served with sauce and garnish.,"Bavaria, Austria, Rhineland-Palatinate",Quark,"quark, flour, egg, onion, marjoram, nutmeg, salt, pepper, breadcrumbs, butter, sauce",formed,"vegetarian, omnivore","lunch, dinner","with bacon, with spinach, with herbs","savory, creamy, cheesy, buttery, aromatic",frying,25,
Quarkspaetzle mit Wirsing,Soft spaetzle dumplings with braised cabbage and a creamy cheese sauce.,"Swabia, Bavaria, Austria",Spaetzle,"spaetzle, cabbage, quark, flour, eggs, butter, onions, nutmeg, salt, pepper, milk",boiled,"vegetarian, omnivore","lunch, dinner","with bacon, with mushrooms, with different cheeses","savory, creamy, cheesy, buttery, mild",fried,25,
Quarkspitzen nach DDR Rezept,Baked quark dumplings served with a fruit sauce.,"Eastern Europe, Poland, Czech Republic",Quark,"quark, flour, sugar, raisins, lemon zest, vanilla sugar, fruit sauce",baked,"vegetarian, omnivore","breakfast, anytime","with different fruits, savory version","sweet, creamy, fruity, tangy",baked,25,
Quittenbrot,A baked dessert made with crabapples and spices.,"Bavaria, Baden-Württemberg, Austria",Crabapple,"crabapple, flour, sugar, raisins, cinnamon, lemon zest, vanilla, yeast, butter",cooked,"vegetarian, omnivore",anytime,"with nuts, with cranberries, with apples","sweet, sour, aromatic, fruity, buttery",baking,60,
